Model,Data,Method,Metric,Mean,StdErr,ParamStr
lr,heloc,shap,RIS,16257.7802734375,246.6310066569937,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
lr,heloc,shap,ROS,173066.34375,5234.695100783334,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
lr,heloc,pfi,PRA,0.616600790513834,0.0,
lr,heloc,pfi,RC,0.3153079225871696,0.0,
lr,heloc,pfi,FA,0.18999999999999997,0.0,_k_0.25_AUC_True
lr,heloc,pfi,RA,0.0,0.0,_k_0.25_AUC_True
lr,heloc,pfi,SA,0.10848999999999998,0.002973721557241027,_k_0.25_AUC_True
lr,heloc,pfi,SRA,0.0,0.0,_k_0.25_AUC_True
lr,heloc,pfi,PGU,0.09542100988353587,0.0026727968536387225,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
lr,heloc,pfi,PGI,0.04848286068609325,0.0015730330415694215,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
lr,heloc,pdp,PRA,0.9644268774703556,3.510833468576701e-18,
lr,heloc,pdp,RC,0.9861660079051386,1.4043333874306803e-17,
lr,heloc,pdp,FA,0.8000000000000002,3.510833468576701e-18,_k_0.25_AUC_True
lr,heloc,pdp,RA,0.18,0.0,_k_0.25_AUC_True
lr,heloc,pdp,SA,0.44875333333333334,0.010747134048976344,_k_0.25_AUC_True
lr,heloc,pdp,SRA,0.09473333333333332,0.0010434110727161497,_k_0.25_AUC_True
lr,heloc,pdp,PGU,0.07389987962162957,0.002209998487122114,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
lr,heloc,pdp,PGI,0.07528249067292543,0.0022356419948361054,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
lr,synthetic,lime,PRA,0.9560421052631579,0.0006552599027608854,
lr,synthetic,lime,RC,0.9759052631578946,0.0005411747219803919,
lr,synthetic,lime,FA,0.8311124999999999,0.0033646572773092364,_k_0.25_AUC_True
lr,synthetic,lime,RA,0.6655166666666666,0.006549893743837038,_k_0.25_AUC_True
lr,synthetic,lime,SA,0.8311124999999999,0.0033646572773092364,_k_0.25_AUC_True
lr,synthetic,lime,SRA,0.6655166666666666,0.006549893743837038,_k_0.25_AUC_True
lr,synthetic,lime,PGU,0.0929520585294813,0.0005708055864071677,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
lr,synthetic,lime,PGI,0.05171279757516459,0.00035264423486134835,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
lr,synthetic,lime,RIS,1969.7916259765625,24.593552946348552,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
lr,synthetic,lime,ROS,75546.171875,1691.1282822695744,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
lr,synthetic,shap,PRA,0.6729105263157895,0.0019797128348796596,
lr,synthetic,shap,RC,0.45761954887218037,0.005004317545908564,
lr,synthetic,shap,FA,0.25587083333333327,0.0044552748835727796,_k_0.25_AUC_True
lr,synthetic,shap,RA,0.05059583333333333,0.0029739159760556262,_k_0.25_AUC_True
lr,synthetic,shap,SA,0.25587083333333327,0.0044552748835727796,_k_0.25_AUC_True
lr,synthetic,shap,SRA,0.05059583333333333,0.0029739159760556262,_k_0.25_AUC_True
lr,synthetic,shap,PGU,0.09685470036137848,0.0006292571574925917,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
lr,synthetic,shap,PGI,0.042858436186332255,0.00022452555682332882,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
lr,synthetic,shap,RIS,716.9620971679688,11.8745794008128,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
lr,synthetic,shap,ROS,6661.68994140625,157.7272760354927,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
lr,synthetic,pfi,PRA,0.4578947368421052,1.7554167342883504e-18,
lr,synthetic,pfi,RC,-0.2740830301975547,0.0,
lr,synthetic,pfi,FA,0.025000000000000005,1.097135458930219e-19,_k_0.25_AUC_True
lr,synthetic,pfi,RA,0.0,0.0,_k_0.25_AUC_True
lr,synthetic,pfi,SA,0.009750000000000002,0.00038560018153522706,_k_0.25_AUC_True
lr,synthetic,pfi,SRA,0.0,0.0,_k_0.25_AUC_True
lr,synthetic,pfi,PGU,0.09718862692359835,0.0005997214034875714,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
lr,synthetic,pfi,PGI,0.043790849287994205,0.00029982993810192263,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
lr,synthetic,pdp,PRA,0.9631578947368419,7.021666937153402e-18,
lr,synthetic,pdp,RC,0.9774436090225562,0.0,
lr,synthetic,pdp,FA,0.9124999999999998,7.021666937153402e-18,_k_0.25_AUC_True
lr,synthetic,pdp,RA,0.8874999999999997,7.021666937153402e-18,_k_0.25_AUC_True
lr,synthetic,pdp,SA,0.35587499999999994,0.014074406626035783,_k_0.25_AUC_True
lr,synthetic,pdp,SRA,0.34612499999999996,0.01368880644450056,_k_0.25_AUC_True
lr,synthetic,pdp,PGU,0.09292597081046551,0.0005747816342509472,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
lr,synthetic,pdp,PGI,0.05171272905170918,0.0003489152505861408,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
ann,german,lime,PGU,0.10373405793936483,0.006644111037973424,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
ann,german,lime,PGI,0.055787130504020566,0.003614410142994344,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
